Time, Sonar_F, Linear_Velocity_X, Angular_Velocity_Z, Front_Right_Error, Right_Error
6.737, 1.6936441659927368, 0.6, 0.0, 0.0, 0.0
6.747, 1.6936441659927368, 0.6, 0.0, 0.0, 0.0
6.757, 1.6800520420074463, 0.6, 0.0, 0.0, 0.0
6.767, 1.6800520420074463, 0.6, 0.0, 0.0, 0.0
6.7780000000000005, 1.6800520420074463, 0.6, 0.0, 0.0, 0.0
6.792, 1.6800520420074463, 0.6, 0.0, 0.0, 0.0
6.799, 1.658405065536499, 0.6, 0.0, 0.0, 0.0
6.808, 1.658405065536499, 0.6, 0.0, 0.0, 0.0
6.817, 1.639371395111084, 0.6, 0.0, 0.0, 0.0
6.827, 1.639371395111084, 0.6, 0.0, 0.0, 0.0
6.839, 1.6277226209640503, 0.6, 0.0, 0.0, 0.0
6.8469999999999995, 1.6277226209640503, 0.6, 0.0, 0.0, 0.0
6.872, 1.6277226209640503, 0.6, 0.0, 0.0, 0.0
6.872, 1.6277226209640503, 0.6, 0.0, 0.0, 0.0
6.877, 1.6277226209640503, 0.6, 0.0, 0.0, 0.0
6.888, 1.6113643646240234, 0.6, 0.0, 0.0, 0.0
6.901, 1.5933531522750854, 0.6, 0.0, 0.0, 0.0
6.911, 1.5933531522750854, 0.6, 0.0, 0.0, 0.0
6.917, 1.5933531522750854, 0.6, 0.0, 0.0, 0.0
6.93, 1.5844041109085083, 0.6, 0.0, 0.0, 0.0
6.939, 1.570981740951538, 0.6, 0.0, 0.0, 0.0
6.948, 1.570981740951538, 0.6, 0.0, 0.0, 0.0
6.959, 1.570981740951538, 0.6, 0.0, 0.0, 0.0
6.967, 1.561826229095459, 0.6, 0.0, 0.0, 0.0
6.977, 1.561826229095459, 0.6, 0.0, 0.0, 0.0
6.987, 1.5465303659439087, 0.6, 0.0, 0.0, 0.0
6.997, 1.5465303659439087, 0.6, 0.0, 0.0, 0.0
7.009, 1.5405898094177246, 0.6, 0.0, 0.0, 0.0
7.018, 1.5405898094177246, 0.6, 0.0, 0.0, 0.0
7.027, 1.5207542181015015, 0.6, 0.0, 0.0, 0.0
7.037, 1.5207542181015015, 0.6, 0.0, 0.0, 0.0
7.049, 1.5207542181015015, 0.6, 0.0, 0.0, 0.0
7.058, 1.5207542181015015, 0.6, 0.0, 0.0, 0.0
7.069, 1.4866368770599365, 0.6, 0.0, 0.0, 0.0
7.079, 1.4866368770599365, 0.6, 0.0, 0.0, 0.0
7.087, 1.4852635860443115, 0.6, 0.0, 0.0, 0.0
7.097, 1.4852635860443115, 0.6, 0.0, 0.0, 0.0
7.107, 1.4687074422836304, 0.6, 0.0, 0.0, 0.0
7.13, 1.467352271080017, 0.6, 0.0, 0.0, 0.0
7.13, 1.467352271080017, 0.6, 0.0, 0.0, 0.0
7.138, 1.467352271080017, 0.6, 0.0, 0.0, 0.0
7.148, 1.467352271080017, 0.6, 0.0, 0.0, 0.0
7.158, 1.4408625364303589, 0.6, 0.0, 0.0, 0.0
7.167, 1.4408625364303589, 0.6, 0.0, 0.0, 0.0
7.177, 1.4377306699752808, 0.6, 0.0, 0.0, 0.0
7.187, 1.4377306699752808, 0.6, 0.0, 0.0, 0.0
7.199, 1.4377306699752808, 0.6, 0.0, 0.0, 0.0
7.233, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.233, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.233, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.244, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.249, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.257, 1.3990176916122437, 0.6, 0.0, 0.0, 0.0
7.274, 1.3660613298416138, 0.6, 0.0, 0.0, 0.0
7.279, 1.3660613298416138, 0.6, 0.0, 0.0, 0.0
7.287, 1.3660613298416138, 0.6, 0.0, 0.0, 0.0
7.297, 1.3660613298416138, 0.6, 0.0, 0.0, 0.0
7.308, 1.357572078704834, 0.6, 0.0, 0.0, 0.0
7.317, 1.357572078704834, 0.6, 0.0, 0.0, 0.0
7.327, 1.357572078704834, 0.6, 0.0, 0.0, 0.0
7.338, 1.340528130531311, 0.6, 0.0, 0.0, 0.0
7.349, 1.340528130531311, 0.6, 0.0, 0.0, 0.0
7.36, 1.3328688144683838, 0.6, 0.0, 0.0, 0.0
